"Drug1"	"Drug2"
"DB00358"	"DB00358"
"DB00360"	"DB00360"
"DB00361"	"DB00361"
"DB00361"	"DB11641"
"DB00363"	"DB00363"
"DB00364"	"DB00364"
"DB00366"	"DB00354"
"DB00366"	"DB00366"
"DB00367"	"DB00367"
"DB00368"	"DB00368"
"DB00370"	"DB00370"
"DB00371"	"DB00371"
"DB00371"	"DB00683"
"DB00372"	"DB00372"
"DB00373"	"DB00195"
"DB00373"	"DB00221"
"DB00373"	"DB00264"
"DB00373"	"DB00335"
"DB00373"	"DB00373"
"DB00373"	"DB00521"
"DB00373"	"DB00612"
"DB00373"	"DB01193"
"DB00373"	"DB01203"
"DB00373"	"DB01210"
"DB00373"	"DB01214"
"DB00373"	"DB01291"
"DB00373"	"DB04861"
"DB00374"	"DB00374"
"DB00376"	"DB00340"
"DB00376"	"DB00376"
"DB00376"	"DB00496"
"DB00376"	"DB00725"
"DB00376"	"DB00785"
"DB00376"	"DB01036"
"DB00376"	"DB01409"
"DB00376"	"DB01591"
"DB00376"	"DB06702"
"DB00376"	"DB08897"
"DB00376"	"DB09076"
"DB00376"	"DB11181"
"DB00377"	"DB00377"
"DB00377"	"DB00757"
"DB00377"	"DB00889"
"DB00377"	"DB00969"
"DB00377"	"DB11699"
"DB00378"	"DB00378"
"DB00378"	"DB00717"
"DB00378"	"DB06789"
"DB00378"	"DB09124"
"DB00379"	"DB00379"
"DB00380"	"DB00380"
"DB00380"	"DB00694"
"DB00380"	"DB00773"
"DB00381"	"DB00381"
"DB00382"	"DB00382"
"DB00383"	"DB00332"
"DB00383"	"DB00383"
"DB00383"	"DB00462"
"DB00383"	"DB00517"
"DB00383"	"DB00986"
"DB00383"	"DB01062"
"DB00383"	"DB01231"
"DB00384"	"DB00384"
"DB00385"	"DB00218"
"DB00385"	"DB00385"
"DB00385"	"DB00444"
"DB00385"	"DB00467"
"DB00385"	"DB00487"
"DB00385"	"DB00685"
"DB00385"	"DB00970"
"DB00385"	"DB00978"
"DB00385"	"DB01059"
"DB00385"	"DB01137"
"DB00385"	"DB01165"
"DB00385"	"DB01177"
"DB00385"	"DB01204"
"DB00385"	"DB01208"
"DB00385"	"DB09047"
"DB00387"	"DB00387"
"DB00387"	"DB00424"
"DB00387"	"DB00809"
"DB00387"	"DB01019"
"DB00387"	"DB01085"
"DB00387"	"DB06787"
"DB00388"	"DB00211"
